donation_id,donor_id,donation_date,donation_type,donation_amount,payment_method_x,campaign,name,age_group,gender,email,country,newsletter_opt_in,payment_method_y,referral_channel,sector
DON000039,fb431c6d-6e2d-4e81-b616-dbedbf7dfac5,2024-08-28,One-time,71.48,Paypal,Reforest the Sanctuary,Yolanda Hicks,30-49,Female,yolanda.hicks@example.com,France,True,Paypal,Website,Logistics
DON000040,bb635c24-ed0a-4455-9bab-3ac1c5d1d552,2025-06-14,One-time,49.19,Bank Transfer,Marine Mammal Defense Mission,Amber Rodriguez,50-65,Female,amber.rodriguez@example.com,France,False,Bank Transfer,Word of mouth,Healthcare
DON000041,e023d980-7417-4218-8f67-90adc6741de1,2024-09-20,One-time,53.68,Credit Card,Jungle Education Project,Ricky Henderson,30-49,Male,ricky.henderson@example.com,Australia,True,Credit Card,Word of mouth,Environment
DON000042,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,2024-10-15,One-time,24.23,Bank Transfer,Marine Mammal Defense Mission,Jane Ferrell,18-29,Female,jane.ferrell@example.com,Canada,False,Bank Transfer,Online advertising,Pharmaceuticals
DON000043,01961b82-6f70-436a-b4be-f7704f5f3636,2024-03-25,Recurring,40.79,Paypal,Defend the Great Apes,Wesley Valencia,50-65,Male,wesley.valencia@example.com,Australia,True,Paypal,Social Media,Energy
DON000044,01961b82-6f70-436a-b4be-f7704f5f3636,2025-06-15,Recurring,32.77,Paypal,Wildlife Rescue Van Drive,Wesley Valencia,50-65,Male,wesley.valencia@example.com,Australia,True,Paypal,Social Media,Energy
DON000045,01961b82-6f70-436a-b4be-f7704f5f3636,2024-12-25,Recurring,75.81,Paypal,Defend the Great Apes,Wesley Valencia,50-65,Male,wesley.valencia@example.com,Australia,True,Paypal,Social Media,Energy
DON000046,a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,2024-07-16,One-time,63.35,Credit Card,Habitat for Hope,Nathan Maldonado,50-65,Other,nathan.maldonado@example.com,Canada,True,Credit Card,Online advertising,Environment
DON000047,db8ef9b1-4cc0-44ce-8ca8-6df45fbfa1e6,2023-10-15,One-time,1.0,Credit Card,Defend the Great Apes,Debra Davidson,30-49,Other,debra.davidson@example.com,France,False,Credit Card,Website,Nonprofit
DON000048,59512354-2663-4d84-8db3-478daf2b04a5,2024-06-03,One-time,64.99,Bank Transfer,Marine Mammal Defense Mission,Jessica Chavez,30-49,Female,jessica.chavez@example.com,Australia,False,Bank Transfer,Social Media,Energy
DON000049,18e46e17-794f-49dd-82c4-d2e98ea60672,2024-07-07,One-time,23.21,Bank Transfer,Habitat for Hope,Sherri Baker,50-65,Other,sherri.baker@example.com,UK,False,Bank Transfer,Word of mouth,Science & Research
DON000050,cb51f47d-f8e5-4610-b243-d64d88112e4e,2023-06-28,One-time,48.46,Bank Transfer,Jungle Education Project,Cassandra Gaines,50-65,Female,cassandra.gaines@example.com,Canada,True,Bank Transfer,Newsletter,Science & Research
DON000051,904ff131-2d81-4434-9f76-5cd43fc3d336,2025-05-13,Recurring,9.91,Paypal,Marine Mammal Defense Mission,Edwin Fowler,30-49,Male,edwin.fowler@example.com,Finland,True,Paypal,Local event,Education
DON000052,904ff131-2d81-4434-9f76-5cd43fc3d336,2024-11-23,Recurring,70.71,Paypal,Rescue Orphaned Gorillas,Edwin Fowler,30-49,Male,edwin.fowler@example.com,Finland,True,Paypal,Local event,Education
DON000053,904ff131-2d81-4434-9f76-5cd43fc3d336,2023-10-12,Recurring,54.24,Paypal,Jungle Education Project,Edwin Fowler,30-49,Male,edwin.fowler@example.com,Finland,True,Paypal,Local event,Education
DON000054,904ff131-2d81-4434-9f76-5cd43fc3d336,2023-06-21,Recurring,48.73,Paypal,Rescue Orphaned Gorillas,Edwin Fowler,30-49,Male,edwin.fowler@example.com,Finland,True,Paypal,Local event,Education
DON000055,f34dc695-4f5e-4898-bd0a-1d0e62c275d0,2024-09-28,One-time,110.32,Credit Card,Reforest the Sanctuary,Christian Farmer,50-65,Male,christian.farmer@example.com,USA,False,Credit Card,Online advertising,Science & Research
DON000056,e024d86a-f0fb-48bc-97f5-dd9b28e970bd,2024-07-28,One-time,145.41,Bank Transfer,Marine Mammal Defense Mission,Paula Moreno,66-80,Female,paula.moreno@example.com,USA,True,Bank Transfer,Social Media,Environment
DON000057,27088b8d-c296-4a8e-a1c4-133a95c7f661,2024-10-24,One-time,32.03,Paypal,Marine Mammal Defense Mission,Erika Smith,18-29,Female,erika.smith@example.com,USA,True,Paypal,Website,Healthcare
DON000058,65349738-4604-4ffc-97c9-d98d6bb7b986,2025-05-09,One-time,81.5,Bank Transfer,Wildlife Rescue Van Drive,Sherry Decker,30-49,Female,sherry.decker@example.com,UK,False,Bank Transfer,Local event,Technology
DON000059,4787c4cb-0c60-4b40-bb88-780f84ec34f3,2024-01-18,One-time,77.7,Paypal,Jungle Education Project,Amy Humphrey,50-65,Female,amy.humphrey@example.com,Canada,False,Paypal,Word of mouth,Finance/Banking
DON000060,71f2d85b-4519-43b0-b79d-0116066e8bb5,2023-10-10,One-time,46.18,Paypal,Reforest the Sanctuary,Angelica Tucker,30-49,Female,angelica.tucker@example.com,Australia,False,Paypal,Word of mouth,Technology
DON000061,85fba29b-36c8-4115-95ba-3cacb10b8b87,2023-11-08,One-time,77.0,Paypal,Reforest the Sanctuary,Paige Cannon,30-49,Female,paige.cannon@example.com,New Zealand,True,Paypal,Local event,Healthcare
DON000062,237e816b-3c4d-4311-a85f-2b771fb958c0,2023-11-21,One-time,20.88,Bank Transfer,Marine Mammal Defense Mission,John Pierce,50-65,Male,john.pierce@example.com,Australia,False,Bank Transfer,Word of mouth,Science & Research
DON000063,6f108800-1463-449f-bbc4-5906ea7fd1a2,2024-04-22,One-time,88.13,Credit Card,Defend the Great Apes,Shane Henderson,66-80,Male,shane.henderson@example.com,France,False,Credit Card,Local event,Environment
DON000064,f9083353-c393-4457-9898-a5989c5a73f4,2023-07-02,One-time,53.15,Credit Card,Reforest the Sanctuary,Kimberly Blair,30-49,Female,kimberly.blair@example.com,USA,True,Credit Card,Online advertising,Environment
DON000065,a47b275e-a951-4783-93e9-98916e1dbc08,2024-07-01,Recurring,45.76,Paypal,Jungle Education Project,Emily Carney,50-65,Female,emily.carney@example.com,Finland,False,Paypal,Social Media,Finance/Banking
DON000066,a47b275e-a951-4783-93e9-98916e1dbc08,2024-12-02,Recurring,49.42,Paypal,Reforest the Sanctuary,Emily Carney,50-65,Female,emily.carney@example.com,Finland,False,Paypal,Social Media,Finance/Banking
DON000067,5e8b774c-fe09-47a5-8a48-631f93737dd0,2024-11-21,Recurring,59.12,Bank Transfer,Defend the Great Apes,Jeffrey Holmes,30-49,Male,jeffrey.holmes@example.com,UK,False,Bank Transfer,Online advertising,Education
DON000068,5e8b774c-fe09-47a5-8a48-631f93737dd0,2023-07-11,Recurring,62.04,Bank Transfer,Marine Mammal Defense Mission,Jeffrey Holmes,30-49,Male,jeffrey.holmes@example.com,UK,False,Bank Transfer,Online advertising,Education
DON000069,5e8b774c-fe09-47a5-8a48-631f93737dd0,2024-07-13,Recurring,89.67,Bank Transfer,Marine Mammal Defense Mission,Jeffrey Holmes,30-49,Male,jeffrey.holmes@example.com,UK,False,Bank Transfer,Online advertising,Education
DON000070,5e8b774c-fe09-47a5-8a48-631f93737dd0,2023-07-26,Recurring,28.34,Bank Transfer,Marine Mammal Defense Mission,Jeffrey Holmes,30-49,Male,jeffrey.holmes@example.com,UK,False,Bank Transfer,Online advertising,Education
DON000071,5e8b774c-fe09-47a5-8a48-631f93737dd0,2024-04-07,Recurring,16.04,Bank Transfer,Reforest the Sanctuary,Jeffrey Holmes,30-49,Male,jeffrey.holmes@example.com,UK,False,Bank Transfer,Online advertising,Education
DON000072,09d21ff3-cd05-4f85-85ee-e78e72d93b95,2024-05-09,One-time,58.4,Bank Transfer,Jungle Education Project,Danny Morgan,30-49,Male,danny.morgan@example.com,Canada,False,Bank Transfer,Word of mouth,Government
DON000073,528bad60-e1ee-4090-acfd-7d26840d8b89,2025-03-27,One-time,118.63,Credit Card,Wildlife Rescue Van Drive,David Robinson,50-65,Male,david.robinson@example.com,USA,True,Credit Card,Website,Environment
DON000074,7199f09c-110f-49e0-b05f-a14577512be7,2024-12-26,One-time,59.16,Paypal,Defend the Great Apes,Lynn Perez,50-65,Female,lynn.perez@example.com,Australia,False,Paypal,Word of mouth,Finance/Banking
DON000075,474fe919-8c9f-4e73-9329-859f384655bc,2024-08-19,One-time,11.47,Credit Card,Jungle Education Project,Scott Jones,18-29,Male,scott.jones@example.com,USA,True,Credit Card,Website,Government
DON000076,ffa8aee4-fe52-4ac5-95fa-67b00230040e,2025-06-11,One-time,106.67,Paypal,Reforest the Sanctuary,Maureen Lewis,50-65,Female,maureen.lewis@example.com,UK,False,Paypal,Word of mouth,Technology
DON000077,bacc9d6c-02f3-4fc0-a962-80b85bf51cfc,2024-03-17,One-time,21.52,Bank Transfer,Habitat for Hope,Taylor Duncan,30-49,Female,taylor.duncan@example.com,Germany,True,Bank Transfer,Word of mouth,Finance/Banking
DON000078,eb60fc19-9dc3-4c64-8620-1539daa7893f,2024-09-30,One-time,116.58,Credit Card,Rescue Orphaned Gorillas,Richard Aguirre,50-65,Male,richard.aguirre@example.com,Germany,False,Credit Card,Word of mouth,Pharmaceuticals
DON000079,6077ed6d-2728-42a3-a192-e5e90c0d5983,2024-02-28,One-time,78.77,Paypal,Defend the Great Apes,Anne Jordan,30-49,Female,anne.jordan@example.com,USA,False,Paypal,Website,Technology
DON000080,c9b454df-f617-4259-9acc-8503fbc72069,2024-01-13,One-time,18.91,Bank Transfer,Wildlife Rescue Van Drive,Julie Daniel,18-29,Female,julie.daniel@example.com,USA,False,Bank Transfer,Social Media,Environment
DON000081,7e7014cf-6d51-4209-9ba2-c19e11552eee,2024-07-25,One-time,24.87,Credit Card,Marine Mammal Defense Mission,William Garcia,18-29,Male,william.garcia@example.com,China,False,Credit Card,Word of mouth,Science & Research
DON000082,854abfdd-69d1-47b9-9d0b-0e9219defc85,2024-04-15,One-time,66.56,Credit Card,Defend the Great Apes,Gerald Hensley,30-49,Male,gerald.hensley@example.com,France,True,Credit Card,Newsletter,Environment
DON000083,492c98c4-c571-414d-97ef-c8538d1d4d2f,2025-04-01,Recurring,55.82,Bank Transfer,Marine Mammal Defense Mission,Cheryl West,30-49,Female,cheryl.west@example.com,USA,False,Bank Transfer,Newsletter,Arts & Culture
DON000084,492c98c4-c571-414d-97ef-c8538d1d4d2f,2023-12-27,Recurring,25.37,Bank Transfer,Defend the Great Apes,Cheryl West,30-49,Female,cheryl.west@example.com,USA,False,Bank Transfer,Newsletter,Arts & Culture
DON000085,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-06-05,Recurring,54.49,Paypal,Reforest the Sanctuary,Donald Wright,30-49,Male,donald.wright@example.com,USA,False,Paypal,Word of mouth,Technology
DON000086,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-08-05,Recurring,51.05,Paypal,Defend the Great Apes,Donald Wright,30-49,Male,donald.wright@example.com,USA,False,Paypal,Word of mouth,Technology
DON000087,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2025-05-09,Recurring,90.0,Paypal,Jungle Education Project,Donald Wright,30-49,Male,donald.wright@example.com,USA,False,Paypal,Word of mouth,Technology
DON000088,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-03-22,Recurring,80.39,Paypal,Defend the Great Apes,Donald Wright,30-49,Male,donald.wright@example.com,USA,False,Paypal,Word of mouth,Technology
DON000089,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-06-30,Recurring,63.68,Paypal,Wildlife Rescue Van Drive,Donald Wright,30-49,Male,donald.wright@example.com,USA,False,Paypal,Word of mouth,Technology
DON000090,ccea48f4-17d6-4efd-965c-a80af124c8d4,2024-04-20,Recurring,36.25,Bank Transfer,Reforest the Sanctuary,Jeremy Callahan,50-65,Male,jeremy.callahan@example.com,France,False,Bank Transfer,Newsletter,Finance/Banking
DON000091,ccea48f4-17d6-4efd-965c-a80af124c8d4,2024-03-18,Recurring,33.55,Bank Transfer,Marine Mammal Defense Mission,Jeremy Callahan,50-65,Male,jeremy.callahan@example.com,France,False,Bank Transfer,Newsletter,Finance/Banking
DON000092,dc1329df-162d-4390-91c6-5149642c263c,2025-03-15,One-time,40.39,Bank Transfer,Rescue Orphaned Gorillas,Anthony Kidd,30-49,Male,anthony.kidd@example.com,Canada,False,Bank Transfer,Social Media,Nonprofit
DON000093,8bd5afb8-2bb2-47d2-870d-55718df06224,2024-02-21,One-time,1.0,Bank Transfer,Marine Mammal Defense Mission,Wayne House,18-29,Male,wayne.house@example.com,Germany,True,Bank Transfer,Word of mouth,Healthcare
DON000094,bf1f7bda-0855-4b78-837b-9e3945ad6eb4,2024-06-13,One-time,97.19,Bank Transfer,Jungle Education Project,Carol Tucker,66-80,Female,carol.tucker@example.com,Germany,True,Bank Transfer,Newsletter,Pharmaceuticals
DON000095,796389f7-d755-4133-8243-ecf193b40619,2023-09-01,Recurring,90.03,Credit Card,Wildlife Rescue Van Drive,Jennifer Brown,50-65,Female,jennifer.brown@example.com,Australia,False,Credit Card,Online advertising,Technology
DON000096,796389f7-d755-4133-8243-ecf193b40619,2024-04-25,Recurring,6.33,Credit Card,Rescue Orphaned Gorillas,Jennifer Brown,50-65,Female,jennifer.brown@example.com,Australia,False,Credit Card,Online advertising,Technology
DON000097,796389f7-d755-4133-8243-ecf193b40619,2024-03-05,Recurring,11.59,Credit Card,Jungle Education Project,Jennifer Brown,50-65,Female,jennifer.brown@example.com,Australia,False,Credit Card,Online advertising,Technology
DON000098,efa2baf1-7365-43fe-a8e7-4ceb49045e72,2023-07-23,One-time,70.63,Paypal,Reforest the Sanctuary,Victoria Baker,30-49,Female,victoria.baker@example.com,USA,True,Paypal,Online advertising,Education
DON000099,95dacfb1-abdd-4493-a201-45f218663d4c,2024-10-20,One-time,109.55,Paypal,Rescue Orphaned Gorillas,Jesse Henderson,30-49,Male,jesse.henderson@example.com,USA,False,Paypal,Online advertising,Education
DON000100,528e4293-d237-47ce-9bab-a1326c6b3e5d,2025-01-21,One-time,24.93,Paypal,Defend the Great Apes,Zachary Peters,30-49,Male,zachary.peters@example.com,South Africa,True,Paypal,Local event,Education
DON000101,e4ab2f32-be65-4bf7-8e2f-95b557b28e6f,2025-02-09,One-time,61.34,Paypal,Habitat for Hope,Christopher Phillips,30-49,Male,christopher.phillips@example.com,Finland,True,Paypal,Local event,Pharmaceuticals
DON000102,def2db99-66ab-4edf-b456-6db4fdbe1c64,2023-11-18,Recurring,34.38,Bank Transfer,Defend the Great Apes,Mr. Joshua Adkins,50-65,Male,mr..adkins@example.com,Germany,False,Bank Transfer,Social Media,Science & Research
DON000103,def2db99-66ab-4edf-b456-6db4fdbe1c64,2024-01-27,Recurring,66.94,Bank Transfer,Jungle Education Project,Mr. Joshua Adkins,50-65,Male,mr..adkins@example.com,Germany,False,Bank Transfer,Social Media,Science & Research
DON000104,def2db99-66ab-4edf-b456-6db4fdbe1c64,2025-04-26,Recurring,17.61,Bank Transfer,Marine Mammal Defense Mission,Mr. Joshua Adkins,50-65,Male,mr..adkins@example.com,Germany,False,Bank Transfer,Social Media,Science & Research
DON000105,def2db99-66ab-4edf-b456-6db4fdbe1c64,2023-08-24,Recurring,34.33,Bank Transfer,Rescue Orphaned Gorillas,Mr. Joshua Adkins,50-65,Male,mr..adkins@example.com,Germany,False,Bank Transfer,Social Media,Science & Research
DON000106,def2db99-66ab-4edf-b456-6db4fdbe1c64,2023-07-25,Recurring,96.34,Bank Transfer,Marine Mammal Defense Mission,Mr. Joshua Adkins,50-65,Male,mr..adkins@example.com,Germany,False,Bank Transfer,Social Media,Science & Research
DON000107,79550888-d81c-43c4-9875-bf1d2cbee0ee,2024-09-19,One-time,87.26,Credit Card,Reforest the Sanctuary,Kevin Shaw,30-49,Male,kevin.shaw@example.com,USA,True,Credit Card,Word of mouth,Nonprofit
DON000108,60f551f0-fc31-4b4c-8b93-b9537e5f9d04,2024-05-05,One-time,70.24,Credit Card,Jungle Education Project,Brooke Yu,50-65,Female,brooke.yu@example.com,USA,False,Credit Card,Website,Hospitality
DON000109,5ed5573f-937a-4517-903c-3af4cded5e21,2024-08-23,Recurring,41.68,Paypal,Jungle Education Project,Charlene Larson,50-65,Female,charlene.larson@example.com,Australia,True,Paypal,Word of mouth,Science & Research
DON000110,5ed5573f-937a-4517-903c-3af4cded5e21,2023-10-05,Recurring,72.04,Paypal,Marine Mammal Defense Mission,Charlene Larson,50-65,Female,charlene.larson@example.com,Australia,True,Paypal,Word of mouth,Science & Research
DON000111,5ed5573f-937a-4517-903c-3af4cded5e21,2024-11-27,Recurring,22.55,Paypal,Wildlife Rescue Van Drive,Charlene Larson,50-65,Female,charlene.larson@example.com,Australia,True,Paypal,Word of mouth,Science & Research
DON000112,5ed5573f-937a-4517-903c-3af4cded5e21,2023-09-26,Recurring,72.97,Paypal,Defend the Great Apes,Charlene Larson,50-65,Female,charlene.larson@example.com,Australia,True,Paypal,Word of mouth,Science & Research
DON000113,5ed5573f-937a-4517-903c-3af4cded5e21,2024-07-10,Recurring,24.26,Paypal,Marine Mammal Defense Mission,Charlene Larson,50-65,Female,charlene.larson@example.com,Australia,True,Paypal,Word of mouth,Science & Research
DON000114,a57dc02c-75da-4b8f-a250-e61d547aa607,2025-05-22,One-time,45.17,Bank Transfer,Rescue Orphaned Gorillas,Cynthia Wilson,50-65,Female,cynthia.wilson@example.com,USA,False,Bank Transfer,Local event,Technology
DON000115,04d28a36-7802-441e-a613-1cea6f702c8c,2024-04-28,One-time,54.01,Bank Transfer,Reforest the Sanctuary,David Wheeler,30-49,Male,david.wheeler@example.com,South Africa,True,Bank Transfer,Newsletter,Healthcare
DON000116,4226782c-0dc8-46b1-8dff-39f7475f8128,2024-12-25,One-time,41.47,Bank Transfer,Wildlife Rescue Van Drive,Jason Silva,30-49,Male,jason.silva@example.com,France,True,Bank Transfer,Newsletter,Education
DON000117,1aedfcf2-e2e1-479c-bd7d-357bcc3a22f8,2023-11-23,Recurring,45.38,Bank Transfer,Marine Mammal Defense Mission,Taylor Harris,50-65,Female,taylor.harris@example.com,China,True,Bank Transfer,Online advertising,Agriculture
DON000118,1aedfcf2-e2e1-479c-bd7d-357bcc3a22f8,2025-01-03,Recurring,21.8,Bank Transfer,Habitat for Hope,Taylor Harris,50-65,Female,taylor.harris@example.com,China,True,Bank Transfer,Online advertising,Agriculture
DON000119,7acb366e-872e-44a6-9c93-96c541cc5052,2024-11-15,One-time,3.54,Credit Card,Rescue Orphaned Gorillas,David Foster,18-29,Male,david.foster@example.com,USA,True,Credit Card,Website,Education
DON000120,459e5791-8f8b-4bf8-bf9f-d8b74e17c542,2024-06-06,One-time,18.68,Paypal,Marine Mammal Defense Mission,Elijah Stewart,50-65,Male,elijah.stewart@example.com,Germany,True,Paypal,Website,Retail
